250,251,252,252,93,1,154,251,253,1,1,2,0,254,252,63,63,252,252,252,251,0,0,1,253,1,251,252,254,32,0,3,0,0,1,33,0,0,253,0,0,0,0,251,253,0,251,250,254,251,0,1,0,92,252,253,253,251,253,253,252,63,0,0,250,252,252,252,252,252,32,253,159,0,252,252,252,125,251,252,253,0,0,0,0,0,0,0,32,250,251,251,249,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,220,251,252,252,252,252,0,0,0,0,0,249,0,160,159,0,0
252,252,251,251,220,0,254,31,251,252,1,251,253,252,252,66,62,252,252,157,252,0,0,0,93,255,252,252,253,252,251,63,0,0,250,63,0,0,1,0,0,0,0,250,0,91,251,252,250,0,253,253,249,249,253,254,0,0,0,0,0,0,0,0,123,253,252,252,252,252,251,251,252,253,251,253,252,252,251,253,253,1,0,0,0,0,0,0,90,125,253,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,251,252,252,253,253,0,1,2,0,0,0,2,61,251,1,0
253,252,252,220,252,249,250,2,253,253,1,251,252,252,252,253,33,252,252,252,253,0,0,0,0,255,252,252,252,252,252,250,0,0,252,63,0,0,0,0,0,0,0,0,0,0,32,251,253,251,253,252,124,3,1,1,0,0,0,0,0,0,0,0,0,189,252,252,252,251,252,1,247,252,252,252,252,252,1,253,253,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,252,252,64,253,253,253,33,0,253,2,1,0,0,0,253,187,0
251,254,252,252,252,252,251,1,220,0,0,190,252,252,252,250,0,95,251,155,252,0,0,188,254,252,252,252,252,252,252,254,0,0,126,2,0,0,0,0,0,0,0,0,0,0,159,252,254,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,252,251,252,252,250,1,252,252,252,252,252,252,252,252,254,250,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,3,0,0,0,0,0,0,0,0,0,63,252,252,65,252,252,250,252,1,252,223,4,0,0,0,253,251,0
252,126,252,252,252,254,96,126,221,0,0,1,253,252,252,252,254,249,251,250,252,158,0,191,252,253,252,252,254,252,252,252,252,1,0,0,0,0,0,0,0,0,2,252,253,252,253,0,32,253,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,252,252,154,252,252,253,251,252,250,0,1,252,253,254,252,252,253,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,2,0,0,0,0,0,0,0,0,0,0,252,252,253,1,0,0,0,64,251,252,35,1,0,0,129,0,0
253,218,253,250,252,252,253,0,1,0,253,0,1,0,250,252,253,252,251,252,252,251,0,0,252,252,252,252,251,1,254,252,254,253,1,0,0,0,0,3,31,252,253,251,250,1,0,0,0,0,1,0,0,0,0,0,0,126,2,0,252,156,0,0,2,2,2,252,252,252,252,251,251,252,0,1,252,254,252,252,252,2,1,253,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,0,0,0,0,0,251,252,252,252,0,1,0,1,245,252,252,252,0,2,0,0,0,0
250,253,251,249,1,1,0,189,251,254,96,0,0,1,0,251,253,0,251,252,252,252,0,0,252,252,252,252,253,127,254,32,1,252,0,0,123,253,252,253,251,251,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,252,251,0,0,0,0,0,0,252,252,252,247,122,252,252,251,252,252,252,222,0,0,0,65,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,2,250,252,252,252,252,252,252,252,253,253,252,252,252,253,0,0,0,0,0
252,252,252,253,220,1,251,251,251,0,0,0,1,0,1,252,254,251,125,66,252,253,1,0,252,251,252,252,254,252,252,251,253,252,254,251,252,252,249,251,251,2,0,0,0,0,0,0,2,252,0,1,0,0,0,0,0,1,155,252,96,0,0,0,156,254,1,2,252,252,253,0,31,252,253,128,251,253,1,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,254,250,252,252,252,252,252,252,252,253,252,252,252,252,254,0,0,0,0,0
252,252,252,252,251,1,252,253,0,0,252,126,125,130,253,251,252,254,252,249,254,252,253,253,250,253,252,252,253,254,253,253,251,254,127,1,0,0,0,0,0,0,0,0,0,0,0,0,253,252,0,1,1,0,2,3,1,0,252,254,0,0,0,0,32,252,0,1,251,252,191,0,0,4,253,1,252,248,0,0,0,0,251,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,253,125,253,252,0,0,0,253,252,252,252,252,252,252,252,252,252,252,249,251,252,252,64,0,0,0,0
252,252,252,253,93,1,252,252,252,252,253,253,249,252,253,252,252,124,253,127,254,252,3,3,1,0,1,0,0,0,252,251,254,252,1,0,0,0,1,0,0,0,0,0,0,0,0,0,253,253,1,0,252,1,94,1,0,191,254,254,0,0,0,2,0,0,0,128,254,252,4,0,0,0,253,155,250,254,251,1,0,0,2,95,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,250,0,251,190,2,0,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,0,0,0,0,0
